date_time,bike_count,place
2020-06-29 20:34:06,1,"Hinde Street, Marylebone"
2020-06-29 21:41:20,12,"Cadogan Place, Knightsbridge"
2020-06-29 21:22:14,1,"Campden Hill Road, Notting Hill"
2020-06-30 00:47:47,3,"Wellington Arch, Hyde Park"
2020-06-30 00:04:43,22,"Endsleigh Gardens, Euston"
2020-06-29 19:04:56,0,"Moorfields, Moorgate"
2020-06-30 03:17:04,12,"Old Brompton Road, South Kensington"
2020-06-29 21:38:20,1,"Wormwood Street, Liverpool Street"
2020-06-29 21:42:22,9,"St. Luke's Church, Chelsea"
2020-06-29 23:00:36,8,"Bramham Gardens, Earl's Court"
2020-06-30 03:02:02,18,"Chelsea Green, Chelsea"
2020-06-29 20:48:10,10,"Horseferry Road, Westminster"
2020-06-29 22:59:35,21,"Knightsbridge, Hyde Park"
2020-06-30 00:43:47,24,"Rodney Road , Walworth"
2020-06-29 23:27:38,3,"Queensway, Kensington Gardens"
2020-06-29 20:19:06,0,"Notting Hill Gate Station, Notting Hill"
2020-06-30 03:02:02,0,"Charles II Street, West End"
2020-06-29 23:45:39,9,"Great Percy Street, Clerkenwell"
2020-06-29 21:57:23,0,"St. James's Square, St. James's"
2020-06-29 22:05:28,0,"Whitehall Place, Strand"
2020-06-30 03:14:03,7,"Poured Lines, Bankside"
2020-06-30 00:43:47,18,"Queen's Gate (Central), South Kensington"
2020-06-30 00:04:43,5,"Carey Street, Holborn"
2020-06-30 00:10:43,1,"Pall Mall East, West End"
2020-06-29 21:55:23,15,"Liverpool Road (N1 Centre), Angel"
2020-06-30 00:31:45,34,"Kennington Road  , Vauxhall"
2020-06-29 20:05:04,8,"Fashion Street, Whitechapel"
2020-06-29 21:40:21,10,"Dock Street, Wapping"
2020-06-29 21:59:24,7,"Frampton Street, Paddington"
2020-06-29 23:17:37,9,"Warren Street Station, Euston"
2020-06-29 20:05:04,7,"Colombo Street, Southwark"
2020-06-29 20:20:05,1,"Beaumont Street, Marylebone"
2020-06-29 23:21:37,9,"Gloucester Street, Pimlico"
2020-06-30 00:01:42,6,"Earnshaw Street , Covent Garden"
2020-06-29 21:55:23,14,"Grosvenor Road, Pimlico"
2020-06-30 03:04:02,3,"Berry Street, Clerkenwell"
2020-06-29 20:58:11,2,"St. John's Wood Church, The Regent's Park"
2020-06-29 21:34:19,8,"Triangle Car Park, Hyde Park"
2020-06-29 22:57:35,11,"Harper Road, The Borough"
2020-06-29 23:47:40,0,"Royal Avenue 1, Chelsea"
2020-06-29 22:57:35,9,"Brushfield Street, Liverpool Street"
2020-06-30 03:02:02,24,"Jubilee Gardens, South Bank"
2020-06-29 22:57:35,6,"Shoreditch Park, Hoxton"
2020-06-29 21:43:21,7,"Chadwell Street, Angel"
2020-06-30 00:43:47,20,"Clifton Road, Maida Vale"
2020-06-29 18:17:44,5,"Houghton Street, Strand"
2020-06-30 02:51:00,7,"Westminster University, Marylebone"
2020-06-29 20:59:12,0,"Kensington Gore, Knightsbridge"
2020-06-29 22:41:33,2,"Bourne Street, Belgravia"
2020-06-30 01:02:48,2,"Broadwick Street, Soho"
2020-06-29 22:35:33,1,"Princes Square, Bayswater"
2020-06-30 00:39:46,8,"LSBU (Borough Road), Elephant & Castle"
2020-06-29 22:25:31,0,"St. Mary Axe, Aldgate"
2020-06-29 21:58:24,13,"Tysoe Street, Clerkenwell"
2020-06-30 00:25:43,9,"Southwick Street, Paddington"
2020-06-29 21:21:14,2,"Queen's Gate (North), Kensington"
2020-06-29 21:59:24,19,"Regency Street, Westminster"
2020-06-29 21:43:21,3,"Belgrave Road, Victoria"
2020-06-30 01:02:48,15,"Empire Square, The Borough"
2020-06-29 23:18:37,18,"Kennington Lane Rail Bridge, Vauxhall"
2020-06-29 21:28:19,9,"London Zoo,  The Regent's Park"
2020-06-30 00:47:47,8,"Baylis Road, Waterloo"
2020-06-29 23:36:39,12,"Belvedere Road 1, South Bank"
2020-06-29 22:02:26,7,"Warwick Road, Olympia"
2020-06-29 23:55:41,7,"Barbican Centre, Barbican"
2020-06-29 23:15:38,19,"Lower Thames Street, Monument"
2020-06-30 03:26:04,14,"Kensington Church Street, Kensington"
2020-06-30 00:36:45,18,"Tooley Street, Bermondsey"
